!anime-metadata-db-index	1
!stats	franchises=1	series=502	seasons=594	episodes=8987	characters=727	staff=484	earliest=2006	latest=2026
!franchises	id	file	titles
fate	fate.yaml	フェイト|en=Fate
!series	id	file	franchise	titles
0-saiji-start-dash-monogatari	0-saiji-start-dash-monogatari.yaml		0歳児スタートダッシュ物語|ja-Latn=0-saiji Start Dash Monogatari
binan-koukou-chikyuu-bouei-bu-haikara	binan-koukou-chikyuu-bouei-bu-haikara.yaml		美男高校地球防衛部ハイカラ！|ja-Latn=Binan Koukou Chikyuu Bouei-bu Haikara!
black-clover	black-clover.yaml		ブラッククローバー (2017)|ja-Latn=Black Clover
boku-no-hero-academia	boku-no-hero-academia.yaml		僕のヒーローアカデミア|ja-Latn=Boku no Hero Academia
boku-no	boku-no.yaml		ぼくの！|ja-Latn=Boku no!
boku-to-roboko-movie	boku-to-roboko-movie.yaml		僕とロボコ 劇場版|ja-Latn=Boku to Roboko Movie
botsuraku-yotei-no-kizoku-dakedo-hima-datta-kara-mahou-wo	botsuraku-yotei-no-kizoku-dakedo-hima-datta-kara-mahou-wo.yaml		没落予定の貴族だけど、暇だったから魔法を極めてみた|ja-Latn=Botsuraku Yotei no Kizoku dakedo, Hima Datta kara Mahou wo Kiwametemita
bousei-no-volicia-dai-ni-shou-gunjou	bousei-no-volicia-dai-ni-shou-gunjou.yaml		忘星のヴァリシア 第二章：群青|ja-Latn=Bousei no Volicia Dai Ni Shou: Gunjou
bukiyou-na-senpai	bukiyou-na-senpai.yaml		不器用な先輩。|ja-Latn=Bukiyou na Senpai.
bungou-stray-dogs-wan	bungou-stray-dogs-wan.yaml		文豪ストレイドッグス わん!|ja-Latn=Bungou Stray Dogs Wan!
busamen-gachi-fighter	busamen-gachi-fighter.yaml		ブサメンガチファイター|ja-Latn=Busamen Gachi Fighter
busu-ni-hanataba-wo	busu-ni-hanataba-wo.yaml		ブスに花束を。|ja-Latn=Busu ni Hanataba wo.
bye-bye-earth	bye-bye-earth.yaml		ばいばい、アース|ja-Latn=Bye Bye, Earth
candy-caries	candy-caries.yaml		キャンディーカリエス|ja-Latn=Candy Caries
cardfight-vanguard-divinez-deluxe-hen	cardfight-vanguard-divinez-deluxe-hen.yaml		カードファイト！！ ヴァンガード Divinez デラックス編|ja-Latn=Cardfight!! Vanguard: Divinez Deluxe-hen
cardfight-vanguard-divinez-deluxe-kesshou-hen	cardfight-vanguard-divinez-deluxe-kesshou-hen.yaml		カードファイト！！ ヴァンガード Divinez デラックス決勝編|ja-Latn=Cardfight!! Vanguard: Divinez Deluxe Kesshou-hen
cardfight-vanguard-divinez-genma-seisen-hen	cardfight-vanguard-divinez-genma-seisen-hen.yaml		カードファイト!! ヴァンガード DivineZ 幻真星戦編|ja-Latn=Cardfight!! Vanguard: Divinez Genma Seisen-hen
chainsaw-man-movie-reze-hen	chainsaw-man-movie-reze-hen.yaml		チェンソーマン レゼ篇|ja-Latn=Chainsaw Man Movie: Reze-hen
champignon-no-majo	champignon-no-majo.yaml		シャンピニオンの魔女|en=Champignon Witch|ja-Latn=Champignon no Majo
chanto-suenai-kyuuketsuki-chan	chanto-suenai-kyuuketsuki-chan.yaml		ちゃんと吸えない吸血鬼ちゃん|ja-Latn=Chanto Suenai Kyuuketsuki-chan
chao	chao.yaml		チャオ|ja-Latn=ChaO
chibi-godzilla-no-gyakushuu	chibi-godzilla-no-gyakushuu.yaml		ちびゴジラの逆襲|ja-Latn=Chibi Godzilla no Gyakushuu
chichi-wa-eiyuu-haha-wa-seirei-musume-no-watashi-wa	chichi-wa-eiyuu-haha-wa-seirei-musume-no-watashi-wa.yaml		父は英雄、母は精霊、娘の私は転生者。|ja-Latn=Chichi wa Eiyuu, Haha wa Seirei, Musume no Watashi wa Tenseisha.
chikuwa-senki-ore-no-kawaii-de-chikyuu-shinryaku	chikuwa-senki-ore-no-kawaii-de-chikyuu-shinryaku.yaml		ちくわ戦記～おれのカワイイで地球侵略～|ja-Latn=Chikuwa Senki: Ore no Kawaii de Chikyuu Shinryaku
chikyuu-no-latair	chikyuu-no-latair.yaml		地球のラテール|ja-Latn=Chikyuu no Latair
chinpui-eri-sama-no-good-luck	chinpui-eri-sama-no-good-luck.yaml		チンプイ エリさまのグッドラック|ja-Latn=Chinpui: Eri-sama no Good Luck
chitose-kun-wa-ramune-bin-no-naka	chitose-kun-wa-ramune-bin-no-naka.yaml		千歳くんはラムネ瓶のなか|ja-Latn=Chitose-kun wa Ramune Bin no Naka
choeganggonglyong-miniforce	choeganggonglyong-miniforce.yaml		최강공룡 미니특공대|ko-Latn=Choeganggonglyong Miniforce
chotto-dake-ai-ga-omoi-dark-elf-ga-isekai-kara-oikaketekita-mini	chotto-dake-ai-ga-omoi-dark-elf-ga-isekai-kara-oikaketekita-mini.yaml		ちょっとだけ愛が重いダークエルフが異世界から追いかけてきたミニアニメ劇場|ja-Latn=Chotto dake Ai ga Omoi Dark Elf ga Isekai kara Oikaketekita Mini Anime Gekijou
chotto-dake-ai-ga-omoi-dark-elf-ga-isekai-kara-oikaketekita	chotto-dake-ai-ga-omoi-dark-elf-ga-isekai-kara-oikaketekita.yaml		ちょっとだけ愛が重すぎるダークエルフが異世界から追いかけてきた|ja-Latn=Chotto dake Ai ga Omoi Dark Elf ga Isekai kara Oikaketekita
